EruptionId,VolcanoName,Country,Region,Latitude,Longitude,Elevation,Morphology,EventYear,EventMonth,EventDay,VEI,DeathsTotal,InjuriesTotal,HousesDestroyed,DamageMillionsUSD,Agent,TimeErupt,Status
21,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,1970,3,2,,3,,,,S,D5,Historical
22,"Fournaise, Piton de la",Reunion,Indian O-W,-21.244,55.708,2632,Shield volcano,1972,8,,2,3,,,,I,D1,Historical
23,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1682,8,12,3,4,,,,,D2,Historical
24,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1805,8,11,2,4,,,,,D2,Historical
25,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1919,5,22,3,4,,10,,T,D1,Historical
26,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1930,9,11,3,6,20,,,"P,W,T",D1,Historical
27,Okataina,New Zealand,New Zealand,-38.157,176.507,1111,Lava dome,1903,8,30,1,4,,,,T,D1,Historical
28,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1928,11,8,1,5,,,,L,D1,Historical
29,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1872,4,24,3,9,11,,,"L,G",D2,Historical
30,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1979,9,12,3,9,23,,,T,D1,Historical
31,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1987,4,17,2,2,7,,,T,D1,Historical
32,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,1914,9,10,,11,,,,A,D1,Historical
33,Niuafo'ou,Tonga,Tonga-SW Pacific,-15.6,-175.63,260,Shield volcano,1886,8,31,4,,,,,,D1,Historical
34,Nyamulagira,"Congo, DRC",Africa-C,-1.408,29.2,3058,Shield volcano,1912,12,3,3,20,,,,L,D1,Historical
35,Karkar,Papua New Guinea,New Guinea-NE of,-4.647,145.976,1839,Stratovolcano,1895,6,17,2,21,,,,"I,M",D1,Historical
36,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,1538,9,29,3,24,,,,T,D5,Historical
37,Niuafo'ou,Tonga,Tonga-SW Pacific,-15.6,-175.63,260,Shield volcano,1853,6,24,,25,,,,L,D1,Historical
38,Bam,Papua New Guinea,New Guinea-NE of,-3.613,144.818,685,Stratovolcano,1954,8,3,2,25,,,,I,D2,Historical
39,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1944,3,27,3,27,,,,"T,L,I",D2,Historical
40,Oku Volcanic Field,Cameroon,Africa-W,6.25,10.5,3011,Maar,1984,8,15,,37,,,,G,D5,Radiocarbon
41,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,-141,,,,40,,,,,D1,Historical
42,Santorini,Greece,Greece,36.404,25.396,367,Shield volcano,1926,1,23,2,48,,,,S,D2,Historical
43,Dama Ali,Ethiopia,Africa-NE,11.28,41.63,1068,Shield volcano,1631,2,14,,50,,,,S,D5,Historical
44,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1843,11,25,2,59,,,,L,D1,Historical
45,Dieng Volcanic Complex,Indonesia,Java,-7.2,109.879,2565,Complex volcano,1944,12,4,2,117,250,,,T,D1,Historical
49,Dieng Volcanic Complex,Indonesia,Java,-7.2,109.879,2565,Complex volcano,1979,2,20,1,149,,,,G,D1,Historical
61,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1587,,,4,,,,,,D1,Historical
64,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1672,8,4,3,3000,,,,P,D1,Historical
69,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1822,12,27,3,100,,,,,D1,Historical
71,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1832,12,25,2,32,,,,,D1,Historical
81,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1872,4,15,4,30,,50,,T,D1,Historical
82,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1872,11,3,4,200,,,,"P,T",D1,Historical
87,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1902,12,,2,16,45,,,P,D1,Historical
92,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1920,7,25,2,35,,,,P,D1,Historical
94,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1930,12,18,3,1369,,1109,,"P,M",D1,Historical
100,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1954,1,18,2,64,57,144,,P,D1,Historical
104,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1961,5,8,3,6,6,,,P,D1,Historical
105,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1969,1,7,2,3,,,,P,D1,Historical
111,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1986,12,31,2,1,,,,M,D1,Historical
112,Merapi,Indonesia,Java,-7.54,110.446,2910,Stratovolcano,1994,11,22,3,66,100,,,P,D1,Historical
116,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1311,,,3,,,,,,D1,Historical
117,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1334,,,3,,,,,M,D1,Historical
118,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1376,,,3,,,,,,D1,Historical
119,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1385,,,3,,,,,,D1,Historical
126,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1586,,,5,10000,,,,,D1,Historical
128,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1716,7,20,2,,,,,M,D1,Historical
132,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1826,10,13,4,,65,,,M,D1,Historical
133,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1848,5,16,3,22,,800,,M,D1,Historical
135,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1864,1,4,2,54,,,,M,D1,Historical
136,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1875,1,29,,,30,,,m,D1,Historical
137,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1901,5,22,3,,,,,,D1,Historical
138,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1919,5,19,4,5110,,9000,,M,D1,Historical
140,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1951,8,31,4,7,,,,,D1,Historical
141,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1966,4,26,4,215,86,,,"M,m,P",D1,Historical
144,Kelud,Indonesia,Java,-7.935,112.314,1730,Stratovolcano,1990,2,10,4,35,,,,"T,P",D1,Historical
159,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1860,4,,2,,,,,,D1,Historical
167,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1885,4,18,2,74,,,,A,D1,Historical
176,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1895,5,22,2,80,,,,M,D1,Historical
191,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1909,8,29,2,221,,,,m,D1,Historical
193,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1911,11,8,3,,,,,,D1,Historical
195,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1913,6,23,2,,,,,,D1,Historical
196,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1941,9,21,2,,,,,,D1,Historical
198,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1946,2,,2,6,,81,,F,D1,Historical
199,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1946,10,29,2,,,,,,D1,Historical
200,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1950,8,28,1,6,,,,P,D1,Historical
201,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1963,5,5,2,1,,,,T,D1,Historical
202,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1967,8,31,3,3,,,,M,D1,Historical
203,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1985,5,10,3,70,,,,A,D1,Historical
204,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1978,9,19,3,12,,,,M,D1,Historical
205,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1976,8,31,2,119,,,,M,D1,Historical
206,Semeru,Indonesia,Java,-8.108,112.922,3657,Stratovolcano,1981,3,29,3,1,,,,P,D1,Historical
261,Lamongan,Indonesia,Java,-7.981,113.341,1641,Stratovolcano,1843,8,,2,4,,,,,D3,Historical
269,Lamongan,Indonesia,Java,-7.981,113.341,1641,Stratovolcano,1869,8,,2,8,,,,"T,A",D3,Historical
294,Raung,Indonesia,Java,-8.119,114.056,3260,Stratovolcano,1593,,,5,,,,,,D1,Historical
295,Raung,Indonesia,Java,-8.119,114.056,3260,Stratovolcano,1597,,,3,,,,,T,D1,Historical
296,Raung,Indonesia,Java,-8.119,114.056,3260,Stratovolcano,1638,,,4,1001,,,,M,D1,Historical
297,Raung,Indonesia,Java,-8.119,114.056,3260,Stratovolcano,1730,,,3,,,,,"M,T",D1,Historical
298,Raung,Indonesia,Java,-8.119,114.056,3260,Stratovolcano,1817,,,4,,,,,,D1,Historical
333,Ijen,Indonesia,Java,-8.058,114.242,2769,Stratovolcano,1817,1,24,2,,,90,,M,D1,Historical
345,Batur,Indonesia,Lesser Sunda Is,-8.24,115.378,1711,Caldera,1963,9,5,2,2,,,,,D1,Historical
351,Agung,Indonesia,Lesser Sunda Is,-8.343,115.508,2997,Stratovolcano,1963,3,18,5,1028,624,,,"P,T,M,A",D1,Historical
353,Agung,Indonesia,Lesser Sunda Is,-8.343,115.508,2997,Stratovolcano,1963,5,16,3,120,,,,,D1,Historical
367,Tambora,Indonesia,Lesser Sunda Is,-8.25,118,2850,Stratovolcano,1815,4,10,7,60000,,,,"P,W,A,I",D1,Historical
389,Iya,Indonesia,Lesser Sunda Is,-8.891,121.641,618,Stratovolcano,1969,1,28,3,2,10,287,,"T,m",D1,Historical
394,Paluweh,Indonesia,Lesser Sunda Is,-8.32,121.708,875,Stratovolcano,1928,8,4,3,226,200,,,"W,T",D1,Historical
395,Paluweh,Indonesia,Lesser Sunda Is,-8.32,121.708,875,Stratovolcano,1964,1,1,2,1,3,,,,D1,Historical
397,Paluweh,Indonesia,Lesser Sunda Is,-8.32,121.708,875,Stratovolcano,1973,1,,3,,,,,,D1,Historical
398,Paluweh,Indonesia,Lesser Sunda Is,-8.32,121.708,875,Stratovolcano,1981,9,5,2,,,,,P,D1,Historical
410,Lewotobi,Indonesia,Lesser Sunda Is,-8.542,122.775,1703,Stratovolcano,1869,7,7,2,2,,,,,D1,Historical
411,Lewotobi,Indonesia,Lesser Sunda Is,-8.542,122.775,1703,Stratovolcano,1907,9,28,2,1,,,,,D1,Historical
439,Iliwerung,Indonesia,Lesser Sunda Is,-8.532,123.573,583,Complex volcano,1870,,,3,,,,,,D1,Historical
441,Iliwerung,Indonesia,Lesser Sunda Is,-8.532,123.573,583,Complex volcano,1948,4,7,2,,,,,,D1,Historical
445,Iliwerung,Indonesia,Lesser Sunda Is,-8.532,123.573,583,Complex volcano,1973,12,,2,2,,,,W,D1,Historical
447,Iliwerung,Indonesia,Lesser Sunda Is,-8.532,123.573,583,Complex volcano,1983,8,17,1,,,,,W,D1,Historical
450,Sirung,Indonesia,Lesser Sunda Is,-8.497,124.131,1347,Complex volcano,1953,6,,,5,1,,,,D1,Historical
457,Teon,Pacific Ocean,Banda Sea,-6.976,129.144,728,Stratovolcano,1659,11,11,4,,,,,,D2,Historical
458,Teon,Pacific Ocean,Banda Sea,-6.976,129.144,728,Stratovolcano,1660,2,,4,3,,,,"G,T",D2,Historical
466,Serua,Pacific Ocean,Banda Sea,-6.312,130.017,608,Stratovolcano,1692,6,4,4,,,,,L,D2,Historical
472,Banda Api,Pacific Ocean,Banda Sea,-4.523,129.881,596,Caldera,1598,,,3,,,,,,D1,Historical
474,Banda Api,Pacific Ocean,Banda Sea,-4.523,129.881,596,Caldera,1615,3,,3,,,,,,D1,Historical
477,Banda Api,Pacific Ocean,Banda Sea,-4.523,129.881,596,Caldera,1694,11,20,3,,,,,,D1,Historical
482,Banda Api,Pacific Ocean,Banda Sea,-4.523,129.881,596,Caldera,1820,6,11,2,,,,,,D1,Historical
486,Banda Api,Pacific Ocean,Banda Sea,-4.523,129.881,596,Caldera,1988,5,9,3,4,,,,"T,L",D1,Historical
488,Colo,Indonesia,Sulawesi-Indonesia,-0.162,121.601,404,Stratovolcano,1983,7,23,4,,,,,,D1,Historical
489,Soputan,Indonesia,Sulawesi-Indonesia,1.112,124.737,1785,Stratovolcano,1845,2,8,2,118,,,,,D1,Historical
525,Mahawu,Indonesia,Sulawesi-Indonesia,1.352,124.865,1299,Stratovolcano,1958,7,12,2,1,10,,,M,D1,Historical
530,Ruang,Indonesia,Sangihe Is-Indonesia,2.3,125.37,725,Stratovolcano,1870,8,,2,,,40,,,D2,Historical
533,Ruang,Indonesia,Sangihe Is-Indonesia,2.3,125.37,725,Stratovolcano,1871,3,3,2,400,,75,,W,D2,Historical
552,Karangetang,Indonesia,Sangihe Is-Indonesia,2.781,125.407,1797,Stratovolcano,1940,6,20,2,1,2,,,,D1,Historical
561,Karangetang,Indonesia,Sangihe Is-Indonesia,2.781,125.407,1797,Stratovolcano,1974,2,11,3,4,,,,A,D1,Historical
562,Karangetang,Indonesia,Sangihe Is-Indonesia,2.781,125.407,1797,Stratovolcano,1976,9,15,2,1,1,24,,"P,L",D1,Historical
569,Banua Wuhu,Indonesia,Sangihe Is-Indonesia,3.138,125.491,-5,Submarine volcano,1889,9,6,2,,,,,,D2,Historical
578,Awu,Indonesia,Sangihe Is-Indonesia,3.689,125.447,1318,Stratovolcano,1711,12,11,3,3000,,,,P,D1,Historical
580,Awu,Indonesia,Sangihe Is-Indonesia,3.689,125.447,1318,Stratovolcano,1812,8,6,3,953,,,,"P,M",D1,Historical
581,Awu,Indonesia,Sangihe Is-Indonesia,3.689,125.447,1318,Stratovolcano,1856,3,2,3,2806,,,,P,D1,Historical
584,Awu,Indonesia,Sangihe Is-Indonesia,3.689,125.447,1318,Stratovolcano,1892,6,7,3,1532,,,,"P,M",D1,Historical
585,Awu,Indonesia,Sangihe Is-Indonesia,3.689,125.447,1318,Stratovolcano,1913,3,14,2,138,,,,,D1,Historical
589,Awu,Indonesia,Sangihe Is-Indonesia,3.689,125.447,1318,Stratovolcano,1966,8,12,4,39,1000,,,"P,M,I",D1,Historical
594,Dukono,Indonesia,Halmahera-Indonesia,1.699,127.878,1273,Complex volcano,1550,11,,3,,,,,,D1,Historical
599,Gamkonora,Indonesia,Halmahera-Indonesia,1.38,127.53,1635,Stratovolcano,1673,5,20,5,,,,,W,D1,Historical
607,Gamalama,Indonesia,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,1608,7,18,3,,,,,,D1,Historical
617,Gamalama,Indonesia,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,1772,5,9,3,35,,,,T,D1,Historical
618,Gamalama,Indonesia,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,1773,2,2,2,,,,,I,D1,Historical
619,Gamalama,Indonesia,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,1775,,,3,1300,,,,"P,I",D1,Historical
627,Gamalama,Indonesia,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,1838,2,26,2,4,,,,T,D1,Historical
629,Gamalama,Indonesia,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,1840,2,2,3,,,500,,,D1,Historical
643,Gamalama,Indonesia,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,1871,8,7,2,1,1,,,T,D1,Historical
657,Gamalama,Indonesia,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,1962,12,31,2,5,5,,,,D1,Historical
663,Kie Besi,Indonesia,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,1550,,,3,,,,,,D1,Historical
664,Kie Besi,Indonesia,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,1646,7,19,4,,,,,P,D1,Historical
665,Kie Besi,Indonesia,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,1760,,,4,2000,,,,M,D1,Historical
666,Kie Besi,Indonesia,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,1861,12,29,4,326,47,,,"P,I",D1,Historical
669,Kie Besi,Indonesia,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,1890,6,29,2,,,,,,D1,Historical
677,Ragang,Philippines,Mindanao-Philippines,7.691,124.507,2790,Stratovolcano,1873,1,16,2,,,,,,D2,Historical
679,Camiguin,Philippines,Mindanao-Philippines,9.203,124.673,1552,Stratovolcano,1871,4,30,2,,,,,,D2,Historical
680,Camiguin,Philippines,Mindanao-Philippines,9.203,124.673,1552,Stratovolcano,1950,9,15,3,68,,,,P,D2,Historical
693,Kanlaon,Philippines,Philippines-C,10.41,123.13,2422,Stratovolcano,1996,8,10,2,3,18,,,T,D1,Historical
697,Bulusan,Philippines,Luzon-Philippines,12.769,124.056,1535,Stratovolcano,1933,12,25,2,9,,,,,D1,Historical
698,Bulusan,Philippines,Luzon-Philippines,12.769,124.056,1535,Stratovolcano,1978,7,29,2,,,,,,D1,Historical
704,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1766,7,20,3,49,,,,m,D1,Historical
706,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1800,10,30,2,,,,,,D1,Historical
707,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1814,2,1,4,1200,,,,"P,M,E",D1,Historical
712,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1853,7,13,3,34,,,,P,D1,Historical
714,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1858,1,,2,,,,,P,D1,Historical
716,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1871,12,8,3,3,,,,P,D1,Historical
724,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1887,3,9,3,15,,,,T,D1,Historical
730,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1897,5,23,3,350,,,,"P,T,M",D1,Historical
732,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1928,1,,3,,,,,P,D1,Historical
733,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1938,6,5,2,,,,,,D1,Historical
735,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1947,1,7,2,,,,,,D1,Historical
736,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1968,4,21,3,6,,,,"M,P",D1,Historical
739,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,1984,9,9,3,1,,,,M,D1,Historical
745,Taal,Philippines,Luzon-Philippines,14.011,120.998,311,Stratovolcano,1572,,,3,,,,,L,D1,Historical
752,Taal,Philippines,Luzon-Philippines,14.011,120.998,311,Stratovolcano,1716,9,24,4,,,,,,D1,Historical
753,Taal,Philippines,Luzon-Philippines,14.011,120.998,311,Stratovolcano,1749,8,11,3,,,,,,D1,Historical
754,Taal,Philippines,Luzon-Philippines,14.011,120.998,311,Stratovolcano,1754,11,28,4,12,,,,"W,T",D1,Historical
756,Taal,Philippines,Luzon-Philippines,14.011,120.998,311,Stratovolcano,1874,7,19,2,,,,,,D1,Historical
761,Taal,Philippines,Luzon-Philippines,14.011,120.998,311,Stratovolcano,1911,1,30,3,1335,199,543,,"P,W",D1,Historical
762,Taal,Philippines,Luzon-Philippines,14.011,120.998,311,Stratovolcano,1965,9,28,4,355,,,,"P,W",D1,Historical
777,Didicas,Philippines,Luzon-N of,19.077,122.202,228,Compound volcano,1969,3,21,2,3,,,,W,D1,Historical
787,Unnamed,Taiwan,Taiwan-E of,24,121.83,0,Submarine volcano,1853,10,29,2,,,,,,D3,Historical
821,Kuchinoerabujima,Japan,Ryukyu Is,30.443,130.217,657,Stratovolcano,1841,4,,2,,,,,T,D1,Historical
823,Kuchinoerabujima,Japan,Ryukyu Is,30.443,130.217,657,Stratovolcano,1933,12,24,4,8,26,,,T,D1,Historical
843,Aira,Japan,Kyushu-Japan,31.577,130.659,1117,Stratovolcano,764,,,4,80,,,,"T,L",D1,Historical
844,Aira,Japan,Kyushu-Japan,31.577,130.659,1117,Stratovolcano,766,7,20,3,,,,,,D1,Historical
846,Aira,Japan,Kyushu-Japan,31.577,130.659,1117,Stratovolcano,1471,11,3,5,,,,,P,D1,Historical
858,Aira,Japan,Kyushu-Japan,31.577,130.659,1117,Stratovolcano,1779,11,8,4,153,,,,"T,W,I",D1,Historical
859,Aira,Japan,Kyushu-Japan,31.577,130.659,1117,Stratovolcano,1781,4,11,4,38,,,,W,D1,Historical
867,Aira,Japan,Kyushu-Japan,31.577,130.659,1117,Stratovolcano,1914,1,12,4,63,112,2268,19,"I,S,A,T",D1,Historical
874,Aira,Japan,Kyushu-Japan,31.577,130.659,1117,Stratovolcano,1946,1,,2,1,,,,,D1,Historical
878,Aira,Japan,Kyushu-Japan,31.577,130.659,1117,Stratovolcano,1955,10,13,3,,,,,,D1,Historical
904,Kirishimayama,Japan,Kyushu-Japan,31.934,130.862,1700,Shield volcano,1566,10,31,3,,,,,,D1,Historical
915,Kirishimayama,Japan,Kyushu-Japan,31.934,130.862,1700,Shield volcano,1716,11,9,3,1,31,,,,D1,Historical
916,Kirishimayama,Japan,Kyushu-Japan,31.934,130.862,1700,Shield volcano,1717,2,7,3,1,30,,,,D1,Historical
932,Unzendake,Japan,Kyushu-Japan,32.761,130.299,1483,Complex volcano,1792,5,21,2,15000,707,6200,,"W,A",D1,Historical
933,Unzendake,Japan,Kyushu-Japan,32.761,130.299,1483,Complex volcano,1991,6,3,1,43,,,,P,D1,Historical
949,Asosan,Japan,Kyushu-Japan,32.885,131.085,1592,Caldera,1331,12,,2,,,,,,D1,Historical
960,Asosan,Japan,Kyushu-Japan,32.885,131.085,1592,Caldera,1485,1,,2,1,,,,,D1,Historical
990,Asosan,Japan,Kyushu-Japan,32.885,131.085,1592,Caldera,1826,10,,2,,,,,T,D1,Historical
994,Asosan,Japan,Kyushu-Japan,32.885,131.085,1592,Caldera,1854,2,,2,3,,,,,D1,Historical
995,Asosan,Japan,Kyushu-Japan,32.885,131.085,1592,Caldera,1872,12,,3,4,,,,T,D1,Historical
1012,Asosan,Japan,Kyushu-Japan,32.885,131.085,1592,Caldera,1953,4,27,2,6,,,,T,D1,Historical
1019,Asosan,Japan,Kyushu-Japan,32.885,131.085,1592,Caldera,1957,10,,2,12,,,,T,D1,Historical
1065,Fujisan,Japan,Honshu-Japan,35.361,138.728,3776,Stratovolcano,1707,12,16,4,,,75,,,D4,Historical
1100,Niigata-Yakeyama,Japan,Honshu-Japan,36.921,138.036,2400,Lava dome,1974,7,28,2,3,,,,T,D1,Historical
1106,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1596,5,1,2,,,,,T,D1,Historical
1133,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1721,6,22,1,15,,,,T,D1,Historical
1145,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1783,8,5,4,1491,,,,"F,P,I",D1,Historical
1146,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1803,7,4,2,,,,,,D1,Historical
1147,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1803,11,7,2,,,,,T,D1,Historical
1158,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1900,1,22,2,25,,,,,D1,Historical
1163,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1936,7,29,3,2,,,,"P,T",D1,Historical
1166,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1947,8,14,2,11,,,,,D1,Historical
1168,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1950,9,23,2,1,1,,,T,D1,Historical
1176,Asamayama,Japan,Honshu-Japan,36.406,138.523,2568,Complex volcano,1961,8,18,2,1,,,,T,D1,Historical
1190,Kusatsu-Shiranesan,Japan,Honshu-Japan,36.618,138.528,2165,Stratovolcano,1932,10,1,3,2,7,,,M,D1,Historical
1203,Nasudake,Japan,Honshu-Japan,37.125,139.963,1915,Stratovolcano,1410,3,5,3,180,,,,,D2,Historical
1211,Bandaisan,Japan,Honshu-Japan,37.601,140.072,1816,Stratovolcano,1888,7,15,4,461,70,,,"A,P",D3,Historical
1213,Adatarayama,Japan,Honshu-Japan,37.647,140.281,1728,Stratovolcano,1900,7,17,2,72,10,,,T,D1,Historical
